iso3,year,phys_inactive_pct
COM,2014,13.7
COM,2015,14.0
COM,2016,14.5
COM,2017,14.9
COM,2018,15.3
COM,2019,15.7
CPV,2010,25.9
CPV,2011,26.3
CPV,2012,26.6
CPV,2013,27.0
CPV,2014,27.4
CPV,2015,27.9
CPV,2016,28.3
CPV,2017,28.8
CPV,2018,29.2
CPV,2019,29.7
CRI,2010,45.5
CRI,2011,45.8
CRI,2012,46.2
CRI,2013,46.6
CRI,2014,46.9
CRI,2015,47.3
CRI,2016,47.6
CRI,2017,48.0
CRI,2018,48.3
CRI,2019,48.6
CUB,2010,45.6
CUB,2011,46.9
CUB,2012,48.2
CUB,2013,49.5
CUB,2014,50.9
CUB,2015,52.2
CUB,2016,53.5
CUB,2017,54.8
CUB,2018,56.1
CUB,2019,57.3
CYP,2010,42.3
CYP,2011,42.1
CYP,2012,42.0
CYP,2013,41.9
CYP,2014,41.7
CYP,2015,41.6
CYP,2016,41.5
CYP,2017,41.3
CYP,2018,41.2
CYP,2019,41.1
CZE,2010,23.2
CZE,2011,23.2
CZE,2012,23.2
CZE,2013,23.2
CZE,2014,23.2
CZE,2015,23.2
CZE,2016,23.2
CZE,2017,23.2
CZE,2018,23.2
CZE,2019,23.2
DEU,2010,16.6
DEU,2011,16.1
DEU,2012,15.7
DEU,2013,15.3
DEU,2014,14.9
DEU,2015,14.5
DEU,2016,14.1
DEU,2017,13.7
DEU,2018,13.3
DEU,2019,13.0
DJI,2010,18.1
DJI,2011,17.9
DJI,2012,17.7
DJI,2013,17.5
DJI,2014,17.4
DJI,2015,17.3
DJI,2016,17.2
DJI,2017,17.1
DJI,2018,17.1
DJI,2019,17.0
DMA,2010,24.0
DMA,2011,24.4
DMA,2012,24.9
DMA,2013,25.4
DMA,2014,26.0
DMA,2015,26.5
DMA,2016,27.0
DMA,2017,27.6
DMA,2018,28.2
DMA,2019,28.7
DNK,2010,19.3
DNK,2011,18.6
DNK,2012,17.9
DNK,2013,17.2
DNK,2014,16.5
DNK,2015,15.9
DNK,2016,15.3
DNK,2017,14.7
DNK,2018,14.2
DNK,2019,13.6
DOM,2010,31.6
DOM,2011,32.0
DOM,2012,32.5
DOM,2013,32.9
DOM,2014,33.3
DOM,2015,33.8
DOM,2016,34.2
DOM,2017,34.7
DOM,2018,35.1
DOM,2019,35.6
DZA,2010,25.8
DZA,2011,26.0
DZA,2012,26.2
DZA,2013,26.5
DZA,2014,26.7
DZA,2015,27.0
DZA,2016,27.3
DZA,2017,27.6
DZA,2018,27.9
DZA,2019,28.1
ECU,2010,21.6
ECU,2011,21.6
ECU,2012,21.7
ECU,2013,21.7
ECU,2014,21.8
ECU,2015,21.9
ECU,2016,22.0
ECU,2017,22.1
