iso3,year,alcohol_lpa
JAM,2011,3.13
JAM,2012,3.2
JAM,2013,3.27
JAM,2014,3.35
JAM,2015,3.39
JAM,2016,3.47
JAM,2017,3.55
JAM,2018,3.6
JAM,2019,3.6
JOR,2010,0.48
JOR,2011,0.45
JOR,2012,0.42
JOR,2013,0.41
JOR,2014,0.38
JOR,2015,0.37
JOR,2016,0.34
JOR,2017,0.33
JOR,2018,0.31
JOR,2019,0.31
JPN,2010,6.77
JPN,2011,6.77
JPN,2012,6.8
JPN,2013,6.77
JPN,2014,6.76
JPN,2015,6.72
JPN,2016,6.75
JPN,2017,6.72
JPN,2018,6.68
JPN,2019,6.68
KAZ,2010,4.2
KAZ,2011,4.39
KAZ,2012,4.32
KAZ,2013,4.4
KAZ,2014,4.25
KAZ,2015,4.17
KAZ,2016,4.19
KAZ,2017,4.48
KAZ,2018,4.52
KAZ,2019,4.52
KEN,2010,2.51
KEN,2011,2.68
KEN,2012,2.75
KEN,2013,2.79
KEN,2014,2.8
KEN,2015,2.78
KEN,2016,2.85
KEN,2017,2.85
KEN,2018,2.87
KEN,2019,2.87
KGZ,2010,6.39
KGZ,2011,6.54
KGZ,2012,6.54
KGZ,2013,6.62
KGZ,2014,6.41
KGZ,2015,6.17
KGZ,2016,5.73
KGZ,2017,5.4
KGZ,2018,4.95
KGZ,2019,4.95
KHM,2010,4.71
KHM,2011,5.4
KHM,2012,5.77
KHM,2013,6.13
KHM,2014,6.55
KHM,2015,7.06
KHM,2016,7.61
KHM,2017,8.13
KHM,2018,8.48
KHM,2019,8.48
KIR,2010,0.65
KIR,2011,0.59
KIR,2012,0.6
KIR,2013,0.59
KIR,2014,0.59
KIR,2015,0.71
KIR,2016,0.75
KIR,2017,0.78
KIR,2018,0.76
KIR,2019,0.76
KNA,2010,6.47
KNA,2011,6.13
KNA,2012,6.1
KNA,2013,6.09
KNA,2014,6.08
KNA,2015,6.12
KNA,2016,6.17
KNA,2017,6.25
KNA,2018,6.34
KNA,2019,6.34
KOR,2010,9.38
KOR,2011,9.37
KOR,2012,9.33
KOR,2013,9.05
KOR,2014,8.81
KOR,2015,8.52
KOR,2016,8.47
KOR,2017,8.29
KOR,2018,8.19
KOR,2019,8.19
KWT,2010,0.0
KWT,2011,0.0
KWT,2012,0.0
KWT,2013,0.0
KWT,2014,0.0
KWT,2015,0.0
KWT,2016,0.0
KWT,2017,0.0
KWT,2018,0.0
KWT,2019,0.0
LAO,2010,10.42
LAO,2011,10.7
LAO,2012,10.73
LAO,2013,10.82
LAO,2014,11.02
LAO,2015,11.31
LAO,2016,11.43
LAO,2017,11.36
LAO,2018,11.52
LAO,2019,11.52
LBN,2010,1.82
LBN,2011,1.75
LBN,2012,1.62
LBN,2013,1.55
LBN,2014,1.53
LBN,2015,1.53
LBN,2016,1.52
LBN,2017,1.51
LBN,2018,1.48
LBN,2019,1.48
LBR,2010,3.9
LBR,2011,3.78
LBR,2012,3.71
LBR,2013,3.59
LBR,2014,3.63
LBR,2015,3.63
LBR,2016,3.68
LBR,2017,3.68
LBR,2018,3.64
LBR,2019,3.64
LBY,2010,0.007
LBY,2011,0.007
LBY,2012,0.008
LBY,2013,0.009
LBY,2014,0.009
LBY,2015,0.011
LBY,2016,0.01
LBY,2017,0.008
LBY,2018,0.008
LBY,2019,0.008
LCA,2010,9.6
LCA,2011,9.24
LCA,2012,8.83
LCA,2013,8.61
LCA,2014,8.49
LCA,2015,8.63
LCA,2016,8.77
LCA,2017,9.0
LCA,2018,9.47
LCA,2019,9.47
LKA,2010,2.6
LKA,2011,2.89
LKA,2012,3.01
LKA,2013,2.93
LKA,2014,2.86
LKA,2015,2.86
LKA,2016,2.91
LKA,2017,2.86
LKA,2018,2.83
LKA,2019,2.83
LSO,2010,3.39
LSO,2011,3.07
LSO,2012,2.98
LSO,2013,3.04
LSO,2014,3.24
LSO,2015,3.28
LSO,2016,3.38
LSO,2017,4.07
LSO,2018,4.54
LSO,2019,4.54
LTU,2010,14.05
LTU,2011,14.66
LTU,2012,15.54
LTU,2013,15.57
LTU,2014,14.96
LTU,2015,14.17
LTU,2016,13.03
LTU,2017,12.29
LTU,2018,11.79
LTU,2019,11.79
LUX,2010,12.13
LUX,2011,12.04
LUX,2012,11.95
LUX,2013,11.86
LUX,2014,11.76
LUX,2015,11.71
LUX,2016,11.66
LUX,2017,11.58
LUX,2018,11.53
LUX,2019,11.53
LVA,2010,10.99
LVA,2011,11.07
LVA,2012,11.19
LVA,2013,11.29
LVA,2014,11.4
LVA,2015,11.61
LVA,2016,12.1
LVA,2017,12.7
LVA,2018,13.09
LVA,2019,13.09
MAR,2010,0.5
MAR,2011,0.48
MAR,2012,0.47
MAR,2013,0.46
MAR,2014,0.43
MAR,2015,0.41
MAR,2016,0.41
MAR,2017,0.44
MAR,2018,0.49
MAR,2019,0.49
MDA,2010,11.43
MDA,2011,12.0
MDA,2012,12.44
MDA,2013,12.25
MDA,2014,11.8
MDA,2015,11.35
MDA,2016,11.24
MDA,2017,11.33
MDA,2018,11.36
MDA,2019,11.36
MDG,2010,1.06
MDG,2011,0.96
MDG,2012,0.93
MDG,2013,0.97
MDG,2014,1.01
MDG,2015,1.01
MDG,2016,1.0
MDG,2017,1.02
MDG,2018,1.02
MDG,2019,1.02
MDV,2010,1.56
MDV,2011,1.52
MDV,2012,1.48
MDV,2013,1.45
MDV,2014,1.39
MDV,2015,1.35
MDV,2016,1.32
MDV,2017,1.35
MDV,2018,1.43
MDV,2019,1.43
MEX,2010,5.23
MEX,2011,5.05
MEX,2012,4.92
MEX,2013,4.87
MEX,2014,4.98
MEX,2015,5.15
MEX,2016,5.38
MEX,2017,5.54
MEX,2018,5.72
MEX,2019,5.72
MKD,2010,4.32
MKD,2011,4.34
MKD,2012,4.34
MKD,2013,4.32
MKD,2014,4.31
MKD,2015,4.3
MKD,2016,4.36
MKD,2017,4.48
MKD,2018,4.62
MKD,2019,4.62
MLI,2010,3.4
MLI,2011,4.7
MLI,2012,4.45
MLI,2013,4.44
MLI,2014,4.45
MLI,2015,4.59
MLI,2016,4.49
MLI,2017,4.38
MLI,2018,4.35
MLI,2019,4.35
MLT,2010,6.91
MLT,2011,6.95
MLT,2012,7.15
MLT,2013,7.27
MLT,2014,7.41
MLT,2015,7.72
MLT,2016,8.14
MLT,2017,8.44
MLT,2018,8.52
MLT,2019,8.52
MMR,2010,1.1
MMR,2011,1.23
MMR,2012,1.35
MMR,2013,1.45
MMR,2014,1.52
MMR,2015,1.62
MMR,2016,1.76
MMR,2017,1.91
MMR,2018,2.12
MMR,2019,2.12
MNE,2010,10.4
MNE,2015,9.55
MNE,2019,10.34
MNG,2010,7.76
MNG,2011,8.07
MNG,2012,9.62
MNG,2013,10.66
MNG,2014,10.93
MNG,2015,9.66
MNG,2016,8.65
MNG,2017,8.45
MNG,2018,7.93
MNG,2019,7.93
MOZ,2010,1.23
MOZ,2011,1.33
MOZ,2012,1.42
MOZ,2013,1.51
MOZ,2014,1.61
MOZ,2015,1.76
MOZ,2016,1.88
MOZ,2017,1.97
MOZ,2018,2.03
MOZ,2019,2.03
MRT,2010,0.0
MRT,2011,0.0
MRT,2012,0.0
MRT,2013,0.0
MRT,2014,0.0
MRT,2015,0.0
MRT,2016,0.0
MRT,2017,0.0
MRT,2018,0.0
MRT,2019,0.0
MUS,2010,7.67
MUS,2011,7.61
MUS,2012,7.59
MUS,2013,7.51
MUS,2014,7.4
MUS,2015,7.4
MUS,2016,7.4
MUS,2017,7.52
MUS,2018,7.52
MUS,2019,7.52
MWI,2010,3.57
MWI,2011,3.71
MWI,2012,3.71
MWI,2013,3.68
MWI,2014,3.58
MWI,2015,3.37
MWI,2016,3.19
MWI,2017,3.13
MWI,2018,3.24
MWI,2019,3.24
MYS,2010,0.6
MYS,2011,0.62
MYS,2012,0.63
MYS,2013,0.63
MYS,2014,0.63
MYS,2015,0.65
MYS,2016,0.69
MYS,2017,0.73
MYS,2018,0.76
MYS,2019,0.76
NAM,2010,4.96
NAM,2011,5.08
NAM,2012,5.34
NAM,2013,5.56
NAM,2014,5.8
NAM,2015,6.01
NAM,2016,6.09
NAM,2017,6.09
NAM,2018,5.93
NAM,2019,5.93
NER,2010,0.17
NER,2011,0.18
NER,2012,0.18
NER,2013,0.18
NER,2014,0.18
NER,2015,0.18
NER,2016,0.17
NER,2017,0.15
NER,2018,0.13
NER,2019,0.13
NGA,2010,5.06
NGA,2011,3.98
NGA,2012,4.28
NGA,2013,4.33
NGA,2014,4.39
NGA,2015,4.39
NGA,2016,4.35
NGA,2017,4.29
NGA,2018,4.21
NGA,2019,4.21
NIC,2010,3.75
NIC,2011,3.85
NIC,2012,3.92
NIC,2013,3.99
NIC,2014,4.03
NIC,2015,4.11
NIC,2016,4.23
NIC,2017,4.24
NIC,2018,4.17
NIC,2019,4.17
NLD,2010,10.2
NLD,2011,10.17
NLD,2012,9.99
NLD,2013,9.77
NLD,2014,9.5
