iso3,year,life_expectancy
COD,2013,57.795
COD,2014,58.236
COD,2015,58.658
COD,2016,59.081
COD,2017,59.495
COD,2018,59.926
COD,2019,60.242
COG,2010,61.731
COG,2011,62.286
COG,2012,62.662
COG,2013,62.969
COG,2014,63.349
COG,2015,63.662
COG,2016,63.911
COG,2017,64.203
COG,2018,64.472
COG,2019,63.152
COL,2010,74.876
COL,2011,75.18
COL,2012,75.611
COL,2013,75.834
COL,2014,75.95
COL,2015,76.067
COL,2016,76.228
COL,2017,76.418
COL,2018,76.579
COL,2019,76.793
COM,2010,62.747
COM,2011,63.105
COM,2012,63.463
COM,2013,63.839
COM,2014,64.143
COM,2015,64.473
COM,2016,64.792
COM,2017,65.127
COM,2018,65.401
COM,2019,65.662
CPV,2010,72.507
CPV,2011,72.913
CPV,2012,73.315
CPV,2013,73.481
CPV,2014,73.788
CPV,2015,74.096
CPV,2016,74.35
CPV,2017,74.71
CPV,2018,74.84
CPV,2019,75.449
CRI,2010,79.354
CRI,2011,79.624
CRI,2012,79.925
CRI,2013,80.189
CRI,2014,80.231
CRI,2015,80.407
CRI,2016,79.988
CRI,2017,79.994
CRI,2018,80.09
CRI,2019,80.296
CUB,2010,77.876
CUB,2011,78.051
CUB,2012,78.162
CUB,2013,78.028
CUB,2014,77.825
CUB,2015,77.745
CUB,2016,77.571
CUB,2017,77.3
CUB,2018,77.426
CUB,2019,77.413
CUW,2010,75.117
CUW,2011,75.576
CUW,2012,75.96
CUW,2013,76.239
CUW,2014,76.384
CUW,2015,76.482
CUW,2016,76.322
CUW,2017,76.423
CUW,2018,76.493
CUW,2019,76.492
CYM,2010,76.069
CYM,2011,76.562
CYM,2012,77.121
CYM,2013,77.652
CYM,2014,77.865
CYM,2015,78.119
CYM,2016,78.367
CYM,2017,78.615
CYM,2018,78.835
CYM,2019,79.052
CYP,2010,80.632
CYP,2011,80.855
CYP,2012,81.128
CYP,2013,81.317
CYP,2014,81.337
CYP,2015,81.464
CYP,2016,81.534
CYP,2017,81.543
CYP,2018,81.556
CYP,2019,81.454
CZE,2010,77.4243902439025
CZE,2011,77.8731707317073
CZE,2012,78.0756097560976
CZE,2013,78.1756097560976
CZE,2014,78.8243902439024
CZE,2015,78.5780487804878
CZE,2016,79.0268292682927
CZE,2017,78.9780487804878
CZE,2018,79.0292682926829
CZE,2019,79.2292682926829
DEU,2010,79.9878048780488
DEU,2011,80.4365853658537
DEU,2012,80.5390243902439
DEU,2013,80.490243902439
DEU,2014,81.090243902439
DEU,2015,80.6414634146341
DEU,2016,80.990243902439
DEU,2017,80.9926829268293
DEU,2018,80.8926829268293
DEU,2019,81.2926829268293
DJI,2010,60.743
DJI,2011,61.337
DJI,2012,61.719
DJI,2013,62.116
DJI,2014,62.427
