iso3,year,gdp_pc_usd
BHR,2015,23734.0551143019
BHR,2016,23800.001440631
BHR,2017,24784.7693514607
BHR,2018,26324.4066549559
BHR,2019,27259.7438599327
BHS,2010,27473.100430502
BHS,2011,27090.8376801379
BHS,2012,28552.0242683151
BHS,2013,27642.7419759179
BHS,2014,29137.2175632622
BHS,2015,30719.405417469
BHS,2016,30616.5363157284
BHS,2017,31875.4881749619
BHS,2018,32642.3353203452
BHS,2019,33640.3369861278
BIH,2010,4506.47828548389
BIH,2011,4982.69375768263
BIH,2012,4693.78899115381
BIH,2013,5034.56616016469
BIH,2014,5206.06558252
BIH,2015,4662.25883724069
