iso3,year,life_expectancy,alcohol_lpa,tobacco_pct,phys_inactive_pct,pm25_ugm3,gdp_pc_usd
HRV,2015,77.2756097560976,8.59,36.1,22.3,20.1718710437292,12285.3032582105
HTI,2010,45.577,3.14,9.6,24.4,18.8313411106541,1209.72733503094
HTI,2015,63.224,3.22,8.9,25.8,21.5058632915395,1411.12684746796
HUN,2010,74.2073170731707,10.84,34.9,22.6,20.465784622626,13189.8433874768
HUN,2015,75.5682926829269,10.68,33.8,25.2,17.9802501362595,12782.9412577973
IDN,2010,68.364,0.1,36.2,16.3,20.5957258237696,3065.68348377765
IDN,2015,69.52,0.11,37.1,17.2,18.6712786457665,3288.22269725538
IND,2010,67.162,4.62,38.3,33.7,50.1011539510167,1347.51939071367
IND,2015,69.326,4.96,31.5,40.1,73.810991410386,1583.99815907985
IRL,2010,80.7439024390244,12.21,26.8,31.3,10.3475907744569,48679.4026820361
IRL,2015,81.4536585365854,11.71,23.4,27.1,8.81158216131006,64311.8234684057
IRN,2010,74.39,1.12,17.3,36.8,38.3119722581928,6291.19443652344
IRN,2015,75.907,0.44,15.5,40.7,38.6980329606897,4952.73355532178
IRQ,2010,68.092,0.24,20.1,46.2,48.6064935140896,4461.75196161555
IRQ,2015,69.977,0.23,19.5,48.8,44.6439888371463,4440.14189252367
ISL,2010,81.8975609756097,7.47,18.3,29.3,6.51049356186064,43237.0729488958
ISL,2015,82.4682926829268,7.85,13.8,27.7,5.73328095255678,52951.6815110898
ISR,2010,81.6024390243903,3.16,25.7,31.0,24.5561552293902,31439.0887027614
ISR,2015,82.0512195121951,2.94,23.2,28.9,22.1043027343095,36213.1041481958
ITA,2010,82.0365853658537,7.22,24.4,42.5,20.1712406113281,35856.8625485539
ITA,2015,82.5439024390244,7.68,23.5,41.4,17.7600165229672,30639.8829751432
JAM,2010,71.979,3.04,13.0,32.7,15.5556087039102,4809.977380312
JAM,2015,72.214,3.39,11.5,35.1,16.8646376023948,5062.8955502426
JOR,2010,73.797,0.48,33.1,27.6,33.5950845427671,3718.46571622945
JOR,2015,75.06,0.37,34.1,27.9,32.1142375115077,4042.75678097555
JPN,2010,82.8426829268293,6.77,25.9,35.8,10.8511260577664,44968.1562349739
JPN,2015,83.7939024390244,6.72,22.8,39.3,12.8685359282927,34960.6393843385
KAZ,2010,68.257,4.2,28.4,21.7,20.5118750922389,8793.07589980782
KAZ,2015,72.024,4.17,25.7,24.3,22.5590495991917,10196.1226255982
KEN,2010,60.915,2.51,14.7,10.8,23.125672688558,1091.51873101194
KEN,2015,62.279,2.78,12.8,9.8,24.7760612569464,1489.11959777284
KGZ,2010,69.3,6.39,28.7,17.7,26.5919253330871,876.954476440354
KGZ,2015,70.6512195121951,6.17,28.0,18.4,29.7484121402712,1105.65193844261
KHM,2010,67.311,4.71,28.0,13.3,24.8224340951565,952.274616324008
KHM,2015,69.398,7.06,22.7,13.1,21.599028896344,1547.32010444393
KIR,2010,65.859,0.65,53.4,37.4,11.4689883144854,1522.10068744154
KIR,2015,65.831,0.71,47.1,34.9,10.6201442272271,1639.85274740652
KOR,2010,80.1170731707317,9.38,27.0,39.8,21.7913866730167,23079.2601257735
KOR,2015,82.0243902439024,8.52,23.8,47.0,26.2899620146574,28737.4391706499
KWT,2010,77.7262195121951,0.0,20.1,62.0,61.3527403418571,39212.2522190461
KWT,2015,79.3765609756098,0.0,19.9,62.8,64.5479644305319,29882.2126867068
LAO,2010,63.69,10.42,38.0,15.7,24.2304166685204,1125.91610151261
LAO,2015,66.688,11.31,32.8,15.6,20.1670988613747,2121.01339097363
LBN,2010,77.529,1.82,35.1,46.0,22.0305714387326,7625.81051551165
LBN,2015,78.275,1.53,34.7,51.5,20.6861467732003,7714.1099998804
LBR,2010,59.358,3.9,12.3,23.1,33.6519945022688,492.252808033724
LBR,2015,59.248,3.63,10.3,18.9,51.1180873244019,692.590082351257
LCA,2010,72.768,9.6,16.8,22.7,21.0479558780675,8673.68720340529
LCA,2015,72.932,8.63,15.4,21.8,23.9677087919965,10334.9860823918
LKA,2010,74.463,2.6,24.3,26.0,22.0458163253294,2808.36779237408
LKA,2015,75.99,2.86,22.1,30.4,17.9117046245301,4057.7158346231
LSO,2010,46.045,3.39,27.5,9.8,26.338001871042,1119.47557793042
LSO,2015,51.83,3.28,26.0,8.7,25.8911063728927,1121.19851342518
LTU,2010,73.2682926829268,14.05,37.1,22.3,13.8485379434341,11829.122609457
LTU,2015,74.3219512195122,14.17,34.6,21.3,11.3028578201847,14269.8039878287
LUX,2010,80.6317073170732,12.13,26.4,20.9,13.0161727518124,110885.991378721
LUX,2015,82.2926829268293,11.71,24.9,17.7,10.3915303158858,105462.012584423
LVA,2010,73.4829268292683,10.99,39.6,17.8,17.7137997205206,11188.4191700977
LVA,2015,74.4804878048781,11.61,37.1,16.3,13.6554000536401,13321.9753140616
MAR,2010,70.821,0.5,16.5,22.6,27.0346621884598,3067.9853515625
MAR,2015,72.894,0.41,14.9,23.3,25.6535487891636,3146.24780273438
MDA,2010,69.876,11.43,27.0,13.3,20.4084787372334,2436.79935102421
MDA,2015,70.118,11.35,28.1,12.1,18.1478989162811,2749.55137054338
MDG,2010,62.597,1.06,37.0,14.3,14.5239072617107,450.009391645726
MDG,2015,63.362,1.01,32.1,13.7,16.0777176618248,445.320069480568
MDV,2010,76.756,1.56,33.7,24.5,13.4528363324173,7173.59601844692
MDV,2015,78.607,1.35,30.3,24.3,10.8085614263778,9644.90655028145
MEX,2010,73.718,5.23,18.7,24.8,19.6596319675283,9728.80078237782
MEX,2015,74.431,5.15,17.0,26.1,19.4864853369113,10021.2386124039
MLI,2010,55.993,3.4,11.8,33.9,67.7178277488734,827.617660082715
MLI,2015,57.852,4.59,10.0,31.9,74.1479908356132,838.11986940103
MLT,2010,81.3975609756098,6.91,28.8,49.2,17.06318547053,21946.6070188242
MLT,2015,81.8975609756097,7.72,26.8,45.5,13.6814730924333,25529.6813131565
MMR,2010,63.479,1.1,54.8,21.5,34.3133485983332,1010.53417343401
MMR,2015,65.288,1.62,50.2,21.5,29.9150539220144,1166.73305546337
MNE,2010,75.990243902439,10.4,35.2,20.5,24.0263937599847,6688.40259641346
MNE,2015,76.6024390243903,9.55,33.7,21.2,22.5226135295586,6491.19280618646
MNG,2010,68.5056097560976,7.76,31.3,14.4,27.9160191026285,2625.21881402433
MNG,2015,70.810243902439,9.66,30.5,19.2,33.6018162552522,3838.92126989984
MRT,2010,65.661,0.0,14.8,51.3,72.922833397118,1659.96369705455
MRT,2015,66.498,0.0,12.3,45.5,83.0276343912381,1554.94897871782
MUS,2010,72.9673170731707,7.67,23.0,28.2,9.39539257571533,8000.37643182154
MUS,2015,74.3531707317073,7.4,22.1,28.7,9.13027374403697,9507.87133656424
MWI,2010,57.787,3.57,15.8,7.4,24.3489614356053,683.124694716799
MWI,2015,62.324,3.37,12.9,4.8,25.0076393017599,539.605363240686
